performanceid,employeeid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,envsatisfaction_text,satisfaction_text_job,satisfaction_text_rel,rating_text_self,managerrating_text,reviewyear,previous_manager_rating,days_since_last_review,id,worklifebalance_text
PR3099,00B0-F199,2019-05-21,5,4,3,3,3,5,4,4,Very Satisfied,Satisfied,Neutral,Exceeds Expectation,Exceeds Expectation,2019,2.0,365.0,5,Very Satisfied
PR3989,00B0-F199,2020-05-20,3,4,3,1,1,4,4,3,Neutral,Satisfied,Neutral,Exceeds Expectation,Meets Expectation,2020,4.0,365.0,4,Satisfied
PR4989,00B0-F199,2021-05-20,5,3,2,1,3,4,5,4,Very Satisfied,Neutral,Dissatisfied,Above And Beyond,Exceeds Expectation,2021,3.0,365.0,4,Satisfied
PR6073,00B0-F199,2022-05-20,1,3,4,3,2,2,4,4,Very Dissatisfied,Neutral,Satisfied,Exceeds Expectation,Exceeds Expectation,2022,4.0,365.0,2,Dissatisfied
PR63,00D4-DD53,2013-03-01,3,3,4,1,1,3,3,2,Neutral,Neutral,Satisfied,Meets Expectation,Needs Improvement,2013,,,3,Neutral
PR226,00D4-DD53,2014-03-01,4,5,2,3,1,5,3,2,Satisfied,Very Satisfied,Dissatisfied,Meets Expectation,Needs Improvement,2014,2.0,365.0,5,Very Satisfied
PR531,00D4-DD53,2015-03-01,3,5,3,3,2,4,5,4,Neutral,Very Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2015,2.0,365.0,4,Satisfied
PR958,00D4-DD53,2016-02-29,5,4,5,1,1,5,4,4,Very Satisfied,Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2016,4.0,365.0,5,Very Satisfied
PR1503,00D4-DD53,2017-02-28,5,4,2,2,1,4,5,5,Very Satisfied,Satisfied,Dissatisfied,Above And Beyond,Above And Beyond,2017,4.0,365.0,4,Satisfied
PR2141,00D4-DD53,2018-02-28,5,4,4,3,2,2,4,3,Very Satisfied,Satisfied,Satisfied,Exceeds Expectation,Meets Expectation,2018,5.0,365.0,2,Dissatisfied
PR2876,00D4-DD53,2019-02-28,3,2,5,2,0,5,3,3,Neutral,Dissatisfied,Very Satisfied,Meets Expectation,Meets Expectation,2019,3.0,365.0,5,Very Satisfied
PR3730,00D4-DD53,2020-02-28,5,4,3,2,1,3,3,2,Very Satisfied,Satisfied,Neutral,Meets Expectation,Needs Improvement,2020,3.0,365.0,3,Neutral
PR4708,00D4-DD53,2021-02-27,5,4,5,3,0,2,4,4,Very Satisfied,Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2021,2.0,365.0,2,Dissatisfied
PR5773,00D4-DD53,2022-02-27,3,4,5,3,0,3,4,4,Neutral,Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2022,4.0,365.0,3,Neutral
PR268,00E4-3D60,2014-03-30,3,5,2,3,3,2,4,4,Neutral,Very Satisfied,Dissatisfied,Exceeds Expectation,Exceeds Expectation,2014,,,2,Dissatisfied
PR584,00E4-3D60,2015-03-30,3,2,4,1,0,5,4,4,Neutral,Dissatisfied,Satisfied,Exceeds Expectation,Exceeds Expectation,2015,4.0,365.0,5,Very Satisfied
PR1020,00E4-3D60,2016-03-29,3,3,5,3,0,3,5,4,Neutral,Neutral,Very Satisfied,Above And Beyond,Exceeds Expectation,2016,4.0,365.0,3,Neutral
PR1566,00E4-3D60,2017-03-29,5,3,4,3,2,4,4,3,Very Satisfied,Neutral,Satisfied,Exceeds Expectation,Meets Expectation,2017,4.0,365.0,4,Satisfied
PR2216,00E4-3D60,2018-03-29,4,3,4,1,0,4,4,3,Satisfied,Neutral,Satisfied,Exceeds Expectation,Meets Expectation,2018,3.0,365.0,4,Satisfied
PR2959,00E4-3D60,2019-03-29,5,5,5,2,2,4,4,4,Very Satisfied,Very Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2019,3.0,365.0,4,Satisfied
PR3824,00E4-3D60,2020-03-28,5,4,5,3,0,3,4,3,Very Satisfied,Satisfied,Very Satisfied,Exceeds Expectation,Meets Expectation,2020,4.0,365.0,3,Neutral
PR4813,00E4-3D60,2021-03-28,5,3,3,3,0,3,4,3,Very Satisfied,Neutral,Neutral,Exceeds Expectation,Meets Expectation,2021,3.0,365.0,3,Neutral
PR5887,00E4-3D60,2022-03-28,1,2,2,3,0,2,4,4,Very Dissatisfied,Dissatisfied,Dissatisfied,Exceeds Expectation,Exceeds Expectation,2022,3.0,365.0,2,Dissatisfied
PR807,0145-DBFC,2015-11-20,5,4,3,3,1,4,5,4,Very Satisfied,Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2015,,,4,Satisfied
PR1322,0145-DBFC,2016-11-19,3,4,3,2,0,2,3,2,Neutral,Satisfied,Neutral,Meets Expectation,Needs Improvement,2016,4.0,365.0,2,Dissatisfied
PR1946,0145-DBFC,2017-11-19,5,3,3,3,0,3,3,2,Very Satisfied,Neutral,Neutral,Meets Expectation,Needs Improvement,2017,2.0,365.0,3,Neutral
PR2656,0145-DBFC,2018-11-19,5,5,3,3,1,4,5,5,Very Satisfied,Very Satisfied,Neutral,Above And Beyond,Above And Beyond,2018,2.0,365.0,4,Satisfied
PR3478,0145-DBFC,2019-11-19,5,5,5,3,1,2,3,2,Very Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Needs Improvement,2019,5.0,365.0,2,Dissatisfied
PR4426,0145-DBFC,2020-11-18,3,5,2,3,1,2,5,4,Neutral,Very Satisfied,Dissatisfied,Above And Beyond,Exceeds Expectation,2020,2.0,365.0,2,Dissatisfied
PR6331,0172-B5D2,2022-08-11,3,2,4,3,3,4,4,3,Neutral,Dissatisfied,Satisfied,Exceeds Expectation,Meets Expectation,2022,,,4,Satisfied
PR6480,017D-0B97,2022-10-09,3,4,3,2,0,4,3,2,Neutral,Satisfied,Neutral,Meets Expectation,Needs Improvement,2022,,,4,Satisfied
PR273,0210-E0D8,2014-04-03,3,3,3,3,0,2,5,4,Neutral,Neutral,Neutral,Above And Beyond,Exceeds Expectation,2014,,,2,Dissatisfied
PR591,0210-E0D8,2015-04-03,4,4,4,2,1,2,3,2,Satisfied,Satisfied,Satisfied,Meets Expectation,Needs Improvement,2015,4.0,365.0,2,Dissatisfied
PR1027,0210-E0D8,2016-04-02,4,2,2,2,1,4,4,4,Satisfied,Dissatisfied,Dissatisfied,Exceeds Expectation,Exceeds Expectation,2016,2.0,365.0,4,Satisfied
PR1573,0210-E0D8,2017-04-02,4,4,3,1,1,4,5,5,Satisfied,Satisfied,Neutral,Above And Beyond,Above And Beyond,2017,4.0,365.0,4,Satisfied
PR2223,0210-E0D8,2018-04-02,4,5,4,2,0,3,4,3,Satisfied,Very Satisfied,Satisfied,Exceeds Expectation,Meets Expectation,2018,5.0,365.0,3,Neutral
PR2968,0210-E0D8,2019-04-02,3,2,3,3,0,2,4,4,Neutral,Dissatisfied,Neutral,Exceeds Expectation,Exceeds Expectation,2019,3.0,365.0,2,Dissatisfied
PR3835,0210-E0D8,2020-04-01,2,4,1,2,1,4,3,3,Dissatisfied,Satisfied,Very Dissatisfied,Meets Expectation,Meets Expectation,2020,4.0,365.0,4,Satisfied
PR4824,0210-E0D8,2021-04-01,3,3,5,3,2,4,4,4,Neutral,Neutral,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2021,3.0,365.0,4,Satisfied
PR5900,0210-E0D8,2022-04-01,3,3,3,3,3,5,3,3,Neutral,Neutral,Neutral,Meets Expectation,Meets Expectation,2022,4.0,365.0,5,Very Satisfied
PR778,022A-0219,2015-10-09,3,4,5,2,2,4,5,5,Neutral,Satisfied,Very Satisfied,Above And Beyond,Above And Beyond,2015,,,4,Satisfied
PR1275,022A-0219,2016-10-08,3,5,3,2,2,5,4,3,Neutral,Very Satisfied,Neutral,Exceeds Expectation,Meets Expectation,2016,5.0,365.0,5,Very Satisfied
PR1880,022A-0219,2017-10-08,4,2,5,3,3,3,3,2,Satisfied,Dissatisfied,Very Satisfied,Meets Expectation,Needs Improvement,2017,3.0,365.0,3,Neutral
PR2581,022A-0219,2018-10-08,4,5,4,3,0,2,5,4,Satisfied,Very Satisfied,Satisfied,Above And Beyond,Exceeds Expectation,2018,2.0,365.0,2,Dissatisfied
PR3392,022A-0219,2019-10-08,5,5,2,1,2,2,3,2,Very Satisfied,Very Satisfied,Dissatisfied,Meets Expectation,Needs Improvement,2019,4.0,365.0,2,Dissatisfied
PR4327,022A-0219,2020-10-07,4,3,5,3,1,4,5,4,Satisfied,Neutral,Very Satisfied,Above And Beyond,Exceeds Expectation,2020,2.0,365.0,4,Satisfied
PR5360,022A-0219,2021-10-07,3,2,2,3,1,2,3,2,Neutral,Dissatisfied,Dissatisfied,Meets Expectation,Needs Improvement,2021,4.0,365.0,2,Dissatisfied
PR6472,022A-0219,2022-10-07,5,3,2,3,1,5,3,3,Very Satisfied,Neutral,Dissatisfied,Meets Expectation,Meets Expectation,2022,2.0,365.0,5,Very Satisfied
PR1914,0240-4D29,2017-11-02,5,5,3,2,1,3,3,3,Very Satisfied,Very Satisfied,Neutral,Meets Expectation,Meets Expectation,2017,,,3,Neutral
PR2623,0240-4D29,2018-11-02,3,5,5,3,0,3,5,5,Neutral,Very Satisfied,Very Satisfied,Above And Beyond,Above And Beyond,2018,3.0,365.0,3,Neutral
PR3443,0240-4D29,2019-11-02,4,5,5,3,1,3,3,3,Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Meets Expectation,2019,5.0,365.0,3,Neutral
PR4387,0240-4D29,2020-11-01,3,5,5,2,1,4,5,4,Neutral,Very Satisfied,Very Satisfied,Above And Beyond,Exceeds Expectation,2020,3.0,365.0,4,Satisfied
PR5424,0240-4D29,2021-11-01,4,4,4,2,0,4,4,4,Satisfied,Satisfied,Satisfied,Exceeds Expectation,Exceeds Expectation,2021,4.0,365.0,4,Satisfied
PR6539,0240-4D29,2022-11-01,4,4,2,3,1,3,5,4,Satisfied,Satisfied,Dissatisfied,Above And Beyond,Exceeds Expectation,2022,4.0,365.0,3,Neutral
PR16,02DA-7A72,2013-01-16,5,5,5,1,0,2,4,4,Very Satisfied,Very Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2013,,,2,Dissatisfied
PR169,02DA-7A72,2014-01-16,4,2,3,2,0,4,4,4,Satisfied,Dissatisfied,Neutral,Exceeds Expectation,Exceeds Expectation,2014,4.0,365.0,4,Satisfied
PR461,02DA-7A72,2015-01-16,5,3,5,2,0,2,3,3,Very Satisfied,Neutral,Very Satisfied,Meets Expectation,Meets Expectation,2015,4.0,365.0,2,Dissatisfied
PR874,02DA-7A72,2016-01-16,3,2,4,1,1,5,4,4,Neutral,Dissatisfied,Satisfied,Exceeds Expectation,Exceeds Expectation,2016,3.0,365.0,5,Very Satisfied
PR1407,02DA-7A72,2017-01-15,5,3,3,3,0,3,4,4,Very Satisfied,Neutral,Neutral,Exceeds Expectation,Exceeds Expectation,2017,4.0,365.0,3,Neutral
PR2037,02DA-7A72,2018-01-15,3,3,3,3,2,2,3,2,Neutral,Neutral,Neutral,Meets Expectation,Needs Improvement,2018,4.0,365.0,2,Dissatisfied
PR2760,02DA-7A72,2019-01-15,3,3,2,3,1,5,3,2,Neutral,Neutral,Dissatisfied,Meets Expectation,Needs Improvement,2019,2.0,365.0,5,Very Satisfied
PR3606,02DA-7A72,2020-01-15,3,2,2,3,1,4,3,2,Neutral,Dissatisfied,Dissatisfied,Meets Expectation,Needs Improvement,2020,2.0,365.0,4,Satisfied
PR4572,02DA-7A72,2021-01-14,2,1,3,1,0,4,4,4,Dissatisfied,Very Dissatisfied,Neutral,Exceeds Expectation,Exceeds Expectation,2021,2.0,365.0,4,Satisfied
PR5631,02DA-7A72,2022-01-14,4,2,2,2,0,3,3,2,Satisfied,Dissatisfied,Dissatisfied,Meets Expectation,Needs Improvement,2022,4.0,365.0,3,Neutral
PR6456,0317-B7BC,2022-09-29,3,5,4,1,1,2,3,2,Neutral,Very Satisfied,Satisfied,Meets Expectation,Needs Improvement,2022,,,2,Dissatisfied
PR542,0322-D46B,2015-03-04,5,2,4,3,2,3,5,5,Very Satisfied,Dissatisfied,Satisfied,Above And Beyond,Above And Beyond,2015,,,3,Neutral
PR971,0322-D46B,2016-03-03,5,5,2,1,3,2,4,3,Very Satisfied,Very Satisfied,Dissatisfied,Exceeds Expectation,Meets Expectation,2016,5.0,365.0,2,Dissatisfied
PR1516,0322-D46B,2017-03-03,4,5,3,1,0,5,5,4,Satisfied,Very Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2017,3.0,365.0,5,Very Satisfied
PR2157,0322-D46B,2018-03-03,5,3,5,2,1,4,4,3,Very Satisfied,Neutral,Very Satisfied,Exceeds Expectation,Meets Expectation,2018,4.0,365.0,4,Satisfied
PR2892,0322-D46B,2019-03-03,3,3,2,3,0,3,5,5,Neutral,Neutral,Dissatisfied,Above And Beyond,Above And Beyond,2019,3.0,365.0,3,Neutral
PR3746,0322-D46B,2020-03-02,3,2,2,2,2,3,5,5,Neutral,Dissatisfied,Dissatisfied,Above And Beyond,Above And Beyond,2020,5.0,365.0,3,Neutral
PR4725,0322-D46B,2021-03-02,4,2,3,1,1,3,3,2,Satisfied,Dissatisfied,Neutral,Meets Expectation,Needs Improvement,2021,5.0,365.0,3,Neutral
PR5792,0322-D46B,2022-03-02,3,4,5,2,2,2,4,3,Neutral,Satisfied,Very Satisfied,Exceeds Expectation,Meets Expectation,2022,2.0,365.0,2,Dissatisfied
PR93,03C5-51AD,2013-03-31,4,2,2,1,1,4,3,3,Satisfied,Dissatisfied,Dissatisfied,Meets Expectation,Meets Expectation,2013,,,4,Satisfied
PR269,03C5-51AD,2014-03-31,5,4,4,1,1,3,5,5,Very Satisfied,Satisfied,Satisfied,Above And Beyond,Above And Beyond,2014,3.0,365.0,3,Neutral
PR585,03C5-51AD,2015-03-31,5,3,2,1,0,4,3,3,Very Satisfied,Neutral,Dissatisfied,Meets Expectation,Meets Expectation,2015,5.0,365.0,4,Satisfied
PR1021,03C5-51AD,2016-03-30,4,4,3,2,0,4,5,4,Satisfied,Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2016,3.0,365.0,4,Satisfied
PR1567,03C5-51AD,2017-03-30,5,3,5,1,0,5,3,3,Very Satisfied,Neutral,Very Satisfied,Meets Expectation,Meets Expectation,2017,4.0,365.0,5,Very Satisfied
PR2217,03C5-51AD,2018-03-30,3,4,5,3,1,5,5,5,Neutral,Satisfied,Very Satisfied,Above And Beyond,Above And Beyond,2018,3.0,365.0,5,Very Satisfied
PR2961,03C5-51AD,2019-03-30,4,5,4,3,0,3,4,4,Satisfied,Very Satisfied,Satisfied,Exceeds Expectation,Exceeds Expectation,2019,5.0,365.0,3,Neutral
PR3826,03C5-51AD,2020-03-29,4,4,3,2,2,3,5,5,Satisfied,Satisfied,Neutral,Above And Beyond,Above And Beyond,2020,4.0,365.0,3,Neutral
PR4815,03C5-51AD,2021-03-29,5,5,5,3,1,4,3,3,Very Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Meets Expectation,2021,5.0,365.0,4,Satisfied
PR5890,03C5-51AD,2022-03-29,5,4,4,3,1,4,3,2,Very Satisfied,Satisfied,Satisfied,Meets Expectation,Needs Improvement,2022,3.0,365.0,4,Satisfied
PR3747,03D3-AA88,2020-03-02,3,4,2,1,1,3,5,4,Neutral,Satisfied,Dissatisfied,Above And Beyond,Exceeds Expectation,2020,,,3,Neutral
PR4726,03D3-AA88,2021-03-02,4,4,5,3,0,2,5,4,Satisfied,Satisfied,Very Satisfied,Above And Beyond,Exceeds Expectation,2021,4.0,365.0,2,Dissatisfied
PR5793,03D3-AA88,2022-03-02,4,5,5,2,0,3,3,2,Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Needs Improvement,2022,4.0,365.0,3,Neutral
PR6225,03D9-FF08,2022-07-07,3,5,3,3,0,5,4,3,Neutral,Very Satisfied,Neutral,Exceeds Expectation,Meets Expectation,2022,,,5,Very Satisfied
PR1371,03EF-5904,2016-12-29,2,4,2,1,3,3,5,4,Dissatisfied,Satisfied,Dissatisfied,Above And Beyond,Exceeds Expectation,2016,,,3,Neutral
PR2001,03EF-5904,2017-12-29,5,3,3,2,0,5,5,4,Very Satisfied,Neutral,Neutral,Above And Beyond,Exceeds Expectation,2017,4.0,365.0,5,Very Satisfied
PR2722,03EF-5904,2018-12-29,5,2,3,3,0,5,4,3,Very Satisfied,Dissatisfied,Neutral,Exceeds Expectation,Meets Expectation,2018,4.0,365.0,5,Very Satisfied
PR3556,03EF-5904,2019-12-29,3,2,5,3,2,3,3,3,Neutral,Dissatisfied,Very Satisfied,Meets Expectation,Meets Expectation,2019,3.0,365.0,3,Neutral
PR4515,03EF-5904,2020-12-28,3,5,4,1,0,3,4,3,Neutral,Very Satisfied,Satisfied,Exceeds Expectation,Meets Expectation,2020,3.0,365.0,3,Neutral
PR5570,03EF-5904,2021-12-28,5,2,4,3,1,4,3,3,Very Satisfied,Dissatisfied,Satisfied,Meets Expectation,Meets Expectation,2021,3.0,365.0,4,Satisfied
PR6700,03EF-5904,2022-12-28,4,5,5,3,2,2,4,4,Satisfied,Very Satisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2022,3.0,365.0,2,Dissatisfied
PR379,040C-EDED,2014-08-14,4,5,4,3,1,2,3,3,Satisfied,Very Satisfied,Satisfied,Meets Expectation,Meets Expectation,2014,,,2,Dissatisfied
PR748,040C-EDED,2015-08-14,5,3,4,1,1,3,4,4,Very Satisfied,Neutral,Satisfied,Exceeds Expectation,Exceeds Expectation,2015,3.0,365.0,3,Neutral
PR1227,040C-EDED,2016-08-13,3,5,2,2,1,2,4,3,Neutral,Very Satisfied,Dissatisfied,Exceeds Expectation,Meets Expectation,2016,4.0,365.0,2,Dissatisfied
PR1815,040C-EDED,2017-08-13,4,5,3,1,0,3,3,3,Satisfied,Very Satisfied,Neutral,Meets Expectation,Meets Expectation,2017,3.0,365.0,3,Neutral
PR2498,040C-EDED,2018-08-13,4,3,2,3,1,4,3,2,Satisfied,Neutral,Dissatisfied,Meets Expectation,Needs Improvement,2018,3.0,365.0,4,Satisfied
PR3293,040C-EDED,2019-08-13,4,5,3,2,0,2,3,2,Satisfied,Very Satisfied,Neutral,Meets Expectation,Needs Improvement,2019,2.0,365.0,2,Dissatisfied
PR4205,040C-EDED,2020-08-12,5,2,3,3,2,4,3,3,Very Satisfied,Dissatisfied,Neutral,Meets Expectation,Meets Expectation,2020,2.0,365.0,4,Satisfied
PR5226,040C-EDED,2021-08-12,4,4,3,1,0,2,5,4,Satisfied,Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2021,3.0,365.0,2,Dissatisfied
PR6332,040C-EDED,2022-08-12,5,3,3,3,2,2,3,2,Very Satisfied,Neutral,Neutral,Meets Expectation,Needs Improvement,2022,4.0,365.0,2,Dissatisfied
PR484,041A-31B0,2015-01-30,5,5,3,3,0,5,3,3,Very Satisfied,Very Satisfied,Neutral,Meets Expectation,Meets Expectation,2015,,,5,Very Satisfied
PR904,041A-31B0,2016-01-30,3,4,2,1,3,2,5,5,Neutral,Satisfied,Dissatisfied,Above And Beyond,Above And Beyond,2016,3.0,365.0,2,Dissatisfied
PR1442,041A-31B0,2017-01-29,3,5,5,2,0,3,5,4,Neutral,Very Satisfied,Very Satisfied,Above And Beyond,Exceeds Expectation,2017,5.0,365.0,3,Neutral
PR2071,041A-31B0,2018-01-29,4,4,2,1,2,3,3,2,Satisfied,Satisfied,Dissatisfied,Meets Expectation,Needs Improvement,2018,4.0,365.0,3,Neutral
PR2799,041A-31B0,2019-01-29,2,2,4,3,1,2,3,2,Dissatisfied,Dissatisfied,Satisfied,Meets Expectation,Needs Improvement,2019,2.0,365.0,2,Dissatisfied
PR3648,041A-31B0,2020-01-29,3,2,2,1,2,3,5,4,Neutral,Dissatisfied,Dissatisfied,Above And Beyond,Exceeds Expectation,2020,2.0,365.0,3,Neutral
PR4617,041A-31B0,2021-01-28,3,2,5,3,3,4,5,4,Neutral,Dissatisfied,Very Satisfied,Above And Beyond,Exceeds Expectation,2021,4.0,365.0,4,Satisfied
PR5678,041A-31B0,2022-01-28,4,2,4,2,0,5,3,2,Satisfied,Dissatisfied,Satisfied,Meets Expectation,Needs Improvement,2022,4.0,365.0,5,Very Satisfied
PR2502,04D7-C8F3,2018-08-14,5,2,4,1,0,3,3,2,Very Satisfied,Dissatisfied,Satisfied,Meets Expectation,Needs Improvement,2018,,,3,Neutral
PR3297,04D7-C8F3,2019-08-14,3,3,5,2,0,4,4,4,Neutral,Neutral,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2019,2.0,365.0,4,Satisfied
PR4211,04D7-C8F3,2020-08-13,3,4,3,1,0,5,5,4,Neutral,Satisfied,Neutral,Above And Beyond,Exceeds Expectation,2020,4.0,365.0,5,Very Satisfied
PR5232,04D7-C8F3,2021-08-13,5,3,5,3,1,4,4,3,Very Satisfied,Neutral,Very Satisfied,Exceeds Expectation,Meets Expectation,2021,4.0,365.0,4,Satisfied
PR6338,04D7-C8F3,2022-08-13,1,1,3,3,2,4,4,4,Very Dissatisfied,Very Dissatisfied,Neutral,Exceeds Expectation,Exceeds Expectation,2022,3.0,365.0,4,Satisfied
PR6454,04E6-6B61,2022-09-28,5,2,2,3,1,3,3,2,Very Satisfied,Dissatisfied,Dissatisfied,Meets Expectation,Needs Improvement,2022,,,3,Neutral
PR5599,0592-D909,2022-01-04,5,4,3,3,1,3,5,5,Very Satisfied,Satisfied,Neutral,Above And Beyond,Above And Beyond,2022,,,3,Neutral
PR888,05B0-755F,2016-01-21,3,4,2,2,1,4,4,3,Neutral,Satisfied,Dissatisfied,Exceeds Expectation,Meets Expectation,2016,,,4,Satisfied
PR1422,05B0-755F,2017-01-20,5,3,5,2,0,2,5,5,Very Satisfied,Neutral,Very Satisfied,Above And Beyond,Above And Beyond,2017,3.0,365.0,2,Dissatisfied
PR2053,05B0-755F,2018-01-20,4,4,3,2,0,3,5,5,Satisfied,Satisfied,Neutral,Above And Beyond,Above And Beyond,2018,5.0,365.0,3,Neutral
PR2779,05B0-755F,2019-01-20,3,4,4,1,1,2,5,5,Neutral,Satisfied,Satisfied,Above And Beyond,Above And Beyond,2019,5.0,365.0,2,Dissatisfied
PR3626,05B0-755F,2020-01-20,4,3,2,1,1,2,4,4,Satisfied,Neutral,Dissatisfied,Exceeds Expectation,Exceeds Expectation,2020,5.0,365.0,2,Dissatisfied
PR4595,05B0-755F,2021-01-19,3,2,4,2,0,3,5,5,Neutral,Dissatisfied,Satisfied,Above And Beyond,Above And Beyond,2021,4.0,365.0,3,Neutral
PR5655,05B0-755F,2022-01-19,3,3,5,1,0,5,4,4,Neutral,Neutral,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2022,5.0,365.0,5,Very Satisfied
PR3920,05CD-292D,2020-04-27,3,3,5,2,3,3,3,3,Neutral,Neutral,Very Satisfied,Meets Expectation,Meets Expectation,2020,,,3,Neutral
PR4914,05CD-292D,2021-04-27,5,2,5,3,0,5,4,4,Very Satisfied,Dissatisfied,Very Satisfied,Exceeds Expectation,Exceeds Expectation,2021,3.0,365.0,5,Very Satisfied
PR5994,05CD-292D,2022-04-27,5,3,4,1,2,2,4,4,Very Satisfied,Neutral,Satisfied,Exceeds Expectation,Exceeds Expectation,2022,4.0,365.0,2,Dissatisfied
PR3409,05DA-5423,2019-10-17,5,4,3,1,1,3,3,3,Very Satisfied,Satisfied,Neutral,Meets Expectation,Meets Expectation,2019,,,3,Neutral
PR4344,05DA-5423,2020-10-16,3,4,3,3,0,4,3,2,Neutral,Satisfied,Neutral,Meets Expectation,Needs Improvement,2020,3.0,365.0,4,Satisfied
PR5381,05DA-5423,2021-10-16,4,4,4,2,0,3,3,3,Satisfied,Satisfied,Satisfied,Meets Expectation,Meets Expectation,2021,2.0,365.0,3,Neutral
PR6495,05DA-5423,2022-10-16,4,5,5,1,1,5,4,3,Satisfied,Very Satisfied,Very Satisfied,Exceeds Expectation,Meets Expectation,2022,3.0,365.0,5,Very Satisfied
PR08,05ED-92F1,2013-01-10,4,5,4,1,1,3,3,2,Satisfied,Very Satisfied,Satisfied,Meets Expectation,Needs Improvement,2013,,,3,Neutral
PR160,05ED-92F1,2014-01-10,5,4,5,1,0,5,4,3,Very Satisfied,Satisfied,Very Satisfied,Exceeds Expectation,Meets Expectation,2014,2.0,365.0,5,Very Satisfied
